deviceCode;name;type;manufacturer;model;serialNumber;network.hostname;network.ipAddress;network.macAddress;network.managementPort;network.dhcp;location.site;location.room;location.rack;location.rackUnit;display.width;display.height;display.refreshRate;capabilities.inputs;capabilities.outputs;capabilities.codecs;capabilities.maxResolution;status.online;status.lastSeenAt;tags;enabled;notes
FTW-CTRL-101;Ankara Control Room Controller;controller;4TheWall;WallCtrl-Pro;SN-100001;wall-ctrl-101;192.168.10.11;00:11:22:33:44:01;8080;false;Ankara Office;Control Room;R01;12;3840;2160;60;HDMI|RTSP;HDMI|DisplayPort;H264|H265;3840x2160;true;2026-09-01T08:00:00.000Z;control-room|primary;true;Ana kontrol odasi controller
FTW-ENC-102;Studio Encoder A;encoder;4TheWall;Enc-4K;SN-100002;enc-102;192.168.10.12;00:11:22:33:44:02;8081;true;Ankara Office;Studio;R02;4;1920;1080;60;HDMI|SDI;RTSP;H264;1920x1080;true;2026-09-01T08:05:00.000Z;studio|encoder;true;
FTW-ENC-103;Studio Encoder B;encoder;4TheWall;Enc-4K;SN-100003;enc-103;192.168.10.13;00:11:22:33:44:03;8082;true;Ankara Office;Studio;R02;5;1920;1080;50;HDMI|SDI;RTSP;H264|H265;1920x1080;false;2026-08-28T17:40:00.000Z;studio|encoder|backup;false;Bakimda
FTW-DEC-104;Lobby Decoder;decoder;4TheWall;Dec-HD;SN-100004;dec-104;192.168.10.14;00:11:22:33:44:04;8083;false;Ankara Office;Lobby;R03;2;1920;1080;60;RTSP;HDMI;H264;1920x1080;true;2026-09-01T07:55:00.000Z;lobby;true;
FTW-DEC-105;Meeting Room Decoder;decoder;4TheWall;Dec-4K;SN-100005;dec-105;192.168.10.15;00:11:22:33:44:05;8084;true;Istanbul Office;Meeting Room 1;R01;7;3840;2160;60;RTSP|SRT;HDMI;H264|H265;3840x2160;true;2026-09-01T09:10:00.000Z;meeting|4k;true;
FTW-DSP-106;Video Wall Panel 1;display;Samsung;VM55B;SN-100006;dsp-106;192.168.10.16;00:11:22:33:44:06;5000;false;Ankara Office;Control Room;R01;1;1920;1080;60;HDMI|DisplayPort;;;1920x1080;true;2026-09-01T08:00:00.000Z;video-wall|panel;true;Video wall sol ust panel
FTW-DSP-107;Video Wall Panel 2;display;Samsung;VM55B;SN-100007;dsp-107;192.168.10.17;00:11:22:33:44:07;5000;false;Ankara Office;Control Room;R01;2;1920;1080;60;HDMI|DisplayPort;;;1920x1080;true;2026-09-01T08:00:00.000Z;video-wall|panel;true;Video wall sag ust panel
FTW-KVM-108;Operator KVM Switch;kvm;Aten;CS1944;SN-100008;kvm-108;192.168.10.18;00:11:22:33:44:08;22;false;Ankara Office;Control Room;R04;9;2560;1440;60;HDMI|USB;HDMI|USB;;2560x1440;true;2026-09-01T08:20:00.000Z;operator|kvm;true;
FTW-NET-109;Core Switch;network;Cisco;C9300-24T;SN-100009;sw-109;192.168.10.2;00:11:22:33:44:09;443;false;Ankara Office;Server Room;R05;20;1;1;1;;;;N/A;true;2026-09-01T09:00:00.000Z;network|core;true;Ana omurga switch
FTW-NET-110;Access Switch Floor 2;network;Cisco;C9200-24P;SN-100010;sw-110;192.168.10.3;00:11:22:33:44:0A;443;true;Istanbul Office;Server Room;R02;18;1;1;1;;;;N/A;false;2026-08-30T22:15:00.000Z;network|access;true;
FTW-OTH-111;Rack UPS;other;APC;SRT3000;SN-100011;ups-111;192.168.10.20;00:11:22:33:44:0B;161;false;Ankara Office;Server Room;R05;1;1;1;1;;;;N/A;true;2026-09-01T09:30:00.000Z;power|ups;true;Kesintisiz guc kaynagi
FTW-CTRL-112;Istanbul Control Room Controller;controller;4TheWall;WallCtrl-Lite;SN-100012;wall-ctrl-112;192.168.20.11;00:11:22:33:44:0C;8080;false;Istanbul Office;Control Room;R01;10;2560;1440;60;HDMI|RTSP;HDMI;H264;2560x1440;false;2026-08-29T11:00:00.000Z;control-room|secondary;false;Devre disi, yedek olarak duruyor
